sample,rep,day,num_total,num_extracted_polygon1,perc_extracted_polygon1,num_extracted_polygon2,perc_extracted_polygon2,num_mCherryOFF,perc_mCherryOFF
EL4Che_06A67A_400nM,rep1,day3,8082,5003,61.90299430833952,4806,96.06236258245053,922,19.184352892218058
EL4Che_Mock_0nM,rep1,day3,7979,5007,62.752224589547566,4834,96.54483722788096,76,1.5721969383533305
EL4Rosa_06A67A_400nM,rep1,day3,7839,4989,63.64332185227708,4868,97.57466426137502,141,2.896466721446179
EL4Rosa_Mock_0nM,rep1,day3,7866,4990,63.437579455886095,4870,97.59519038076152,121,2.4845995893223822
